"team","tr"
"Georgia",2.6554
"Alabama",2.3409
"Ohio State",2.1129
"Cincinnati",1.7513
"Michigan",1.712
"Oklahoma",1.6255
"Clemson",1.3425
"Penn State",1.3425
"Florida",1.3267
"Iowa",1.2874
"Ole Miss",1.2717
"Pittsburgh",1.2717
"Texas",1.2324
"Auburn",1.2167
"Notre Dame",1.1381
"Iowa State",1.1381
"Texas A&M",1.083
"Nebraska",0.9887
"Michigan State",0.9337
"Oregon",0.9022
"NC State",0.8865
"Arkansas",0.8629
"Tennessee",0.8236
"Wake Forest",0.8236
"Baylor",0.8157
"Wisconsin",0.8157
"Utah",0.7686
"Arizona State",0.7607
"Oklahoma State",0.7607
"Purdue",0.7528
"LSU",0.7528
"North Carolina",0.7371
"Coastal Carolina",0.7293
"TCU",0.6978
"UCLA",0.6978
"Miami",0.6978
"Kentucky",0.6821
"Virginia",0.6664
"Minnesota",0.6428
"Houston",0.5484
"USC",0.5406
"West Virginia",0.4934
"Boise State",0.4934
"Liberty",0.4777
"Appalachian State",0.462
"Washington",0.4227
"Kansas State",0.4148
"Indiana",0.3991
"Mississippi State",0.3912
"Oregon State",0.3912
"Louisville",0.3755
"SMU",0.3755
"Louisiana",0.3676
"Virginia Tech",0.2811
"Boston College",0.2654
"UCF",0.2654
"UAB",0.2576
"BYU",0.2497
"Fresno State",0.2261
"UT San Antonio",0.2104
"Army",0.1947
"Stanford",0.1947
"Nevada",0.1711
"Marshall",0.1318
"Air Force",0.1318
"Maryland",0.1318
"Rutgers",0.1003
"Georgia Tech",0.1003
"Syracuse",0.0689
"Texas Tech",0.0374
"Florida State",0.0296
"Toledo",0.0138
"Western Michigan",0.006
"San Diego State",-0.0962
"Washington State",-0.1119
"California",-0.1119
"South Carolina",-0.1434
"Memphis",-0.1591
"East Carolina",-0.1748
"Western Kentucky",-0.1827
"Florida Atlantic",-0.1984
"Missouri",-0.2299
"Colorado",-0.2299
"Illinois",-0.2456
"Tulane",-0.2692
"Northwestern",-0.2849
"Ball State",-0.3085
"Colorado State",-0.4185
"Tulsa",-0.4264
"Buffalo",-0.4343
"Wyoming",-0.4421
"Miami (OH)",-0.505
"Troy",-0.5679
"Central Michigan",-0.5915
"Eastern Michigan",-0.5994
"South Alabama",-0.7251
"Kent State",-0.7409
"Georgia State",-0.7409
"San Jose State",-0.7723
"Northern Illinois",-0.7802
"Louisiana Tech",-0.7802
"Middle Tennessee",-0.788
"Utah State",-0.8431
"Hawai'i",-0.8509
"Duke",-0.8667
"South Florida",-0.8902
"Navy",-0.8981
"Charlotte",-0.9138
"Georgia Southern",-1.1654
"Ohio",-1.1654
"UTEP",-1.2047
"Old Dominion",-1.2519
"Arizona",-1.2597
"Temple",-1.2912
"Texas State",-1.3619
"North Texas",-1.4012
"Vanderbilt",-1.417
"Arkansas State",-1.4877
"Bowling Green",-1.4956
"Southern Mississippi",-1.5192
"UNLV",-1.527
"Florida International",-1.6371
"Rice",-1.6764
"New Mexico",-1.755
"Louisiana Monroe",-1.7786
"Akron",-1.8729
"Kansas",-1.9594
"New Mexico State",-2.2189
"UMass",-2.2346
"Connecticut",-2.266
